name,belt,total_reigns,total_days_as_champion,average_reign_duration,longest_single_reign,shortest_single_reign,most_recent_reign,first_reign,most_recent_reign_end,days_since_last_reign,title_diversity,avg_gap_between_reigns,career_span_days,avg_reigns_per_title
Naomi,WWE SmackDown Women's Championship,2,-34467.0,-17233.5,-17209.0,-17258.0,2017-04-02,2017-02-12,1970-01-01 00:00:00.000000002,2956.0,1,17257.0,-17209.0,2.0
Natalya,WWE SmackDown Women's Championship,1,-17398.0,-17398.0,-17398.0,-17398.0,2017-08-20,2017-08-20,1970-01-01 00:00:00.000000001,2816.0,1,,-17398.0,1.0
Nia Jax,WWE Raw Women's Championship,1,-17629.0,-17629.0,-17629.0,-17629.0,2018-04-08,2018-04-08,1970-01-01 00:00:00.000000001,2585.0,1,,-17629.0,1.0
Pedro Morales,WWE Championship,1,-36928.0,-36928.0,-36928.0,-36928.0,2071-02-08,2071-02-08,1970-01-01 00:00:00.000000001,-16714.0,1,,-36928.0,1.0
Randy Orton,WWE Championship,9,-134946.0,-14994.0,-13793.0,-17258.0,2017-04-02,2007-10-07,1970-01-01 00:00:00.000000009,2956.0,1,15143.1,-13793.0,9.0
Randy Savage,WWE Championship,2,-14790.0,-7395.0,-6660.0,-8130.0,1992-04-05,1988-03-27,1970-01-01 00:00:00.000000002,12084.0,1,8129.0,-6660.0,2.0
Rey Mysterio,WWE Championship,1,-15180.0,-15180.0,-15180.0,-15180.0,2011-07-25,2011-07-25,1970-01-01 00:00:00.000000001,5034.0,1,,-15180.0,1.0
Ric Flair,WWE Championship,2,-16332.0,-8166.0,-8053.0,-8279.0,1992-09-01,1992-01-19,1970-01-01 00:00:00.000000002,11935.0,1,8278.0,-8053.0,2.0
Rob Van Dam,WWE Championship,1,-13310.0,-13310.0,-13310.0,-13310.0,2006-06-11,2006-06-11,1970-01-01 00:00:00.000000001,6904.0,1,,-13310.0,1.0
Rockin' Robin,WWE Women's Championship,1,-6854.0,-6854.0,-6854.0,-6854.0,1988-10-07,1988-10-07,1970-01-01 00:00:00.000000001,13360.0,1,,-6854.0,1.0
Roman Reigns,WWE Championship,3,-50438.0,-16812.7,-16761.0,-16894.0,2016-04-03,2015-11-22,1970-01-01 00:00:00.000000003,3320.0,1,16837.5,-16761.0,3.0
Ronda Rousey,WWE Raw Women's Championship,1,-17762.0,-17762.0,-17762.0,-17762.0,2018-08-19,2018-08-19,1970-01-01 00:00:00.000000001,2452.0,1,,-17762.0,1.0
Sable,WWE Women's Championship,1,-10545.0,-10545.0,-10545.0,-10545.0,1998-11-15,1998-11-15,1970-01-01 00:00:00.000000001,9669.0,1,,-10545.0,1.0
Sasha Banks,WWE Raw Women's Championship,4,-68615.0,-17153.8,-17007.0,-17398.0,2017-08-20,2016-07-25,1970-01-01 00:00:00.000000004,2816.0,1,17201.7,-17007.0,4.0
Sensational Sherri,WWE Women's Championship,1,-6413.0,-6413.0,-6413.0,-6413.0,1987-07-24,1987-07-24,1970-01-01 00:00:00.000000001,13801.0,1,,-6413.0,1.0
Seth Rollins,WWE Championship,2,-33494.0,-16747.0,-16523.0,-16971.0,2016-06-19,2015-03-29,1970-01-01 00:00:00.000000002,3243.0,1,16970.0,-16523.0,2.0
Sgt. Slaughter,WWE Championship,1,-7688.0,-7688.0,-7688.0,-7688.0,1991-01-19,1991-01-19,1970-01-01 00:00:00.000000001,12526.0,1,,-7688.0,1.0
Shawn Michaels,WWE Championship,3,-29640.0,-9880.0,-9586.0,-10174.0,1997-11-09,1996-03-31,1970-01-01 00:00:00.000000003,10040.0,1,10026.0,-9586.0,3.0
Sheamus,WWE Championship,3,-46132.0,-15377.3,-14591.0,-16761.0,2015-11-22,2009-12-13,1970-01-01 00:00:00.000000003,3453.0,1,15769.5,-14591.0,3.0
Stan Stasiak,WWE Championship,1,-37955.0,-37955.0,-37955.0,-37955.0,2073-12-01,2073-12-01,1970-01-01 00:00:00.000000001,-17741.0,1,,-37955.0,1.0
Stephanie McMahon-Helmsley,WWE Women's Championship,1,0.0,,,,,,1970-01-01 00:00:00.000000001,,1,,,1.0
